Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ chung cư · Hong Kong Tower	Happy Apartment 2BR LilyHometel@HongKong Tower	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,550,000₫/đêm	Ba Đình, Hà Nội, Vietnam	5	
Căn hộ dịch vụ	Apartment || FULL KITCHEN || Center Ha Noi City - HA 2146	2 khách · 1 Phòng ngủ · 1 phòng tắm	448,000₫/đêm 560,000₫	Tây Hồ, Hà Nội, Vietnam	1	
Căn hộ Studio	301 Studio natural light and beside Van Mieu	2 khách · 1 Phòng ngủ · 1 phòng tắm	690,000₫/đêm	Đống Đa, Hà Nội, Vietnam	10	
Căn hộ chung cư · Chung cư The Link Ciputra	Luxury Ciputra Apartment Hồ Tây	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,979,100₫/đêm 2,199,000₫	Tây Hồ, Hà Nội, Vietnam	1	
Nhà riêng	Krystal's Mini Homestay [2nd Private Room]	2 khách · 1 Phòng ngủ · 1 phòng tắm	347,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	15	
Biệt Thự	Vườn Quả Villa	20 khách · 3 Phòng ngủ · 3 phòng tắm	3,000,000₫/đêm	Sóc Sơn, Hà Nội, Vietnam	16	
Căn hộ dịch vụ	❤️The Cranes' Home - Scandinavian Twin Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	599,000₫/đêm	Đống Đa, Hà Nội, Vietnam	2	
Căn hộ dịch vụ	Comfortable Basic Apt in Quiet Area near Airport	2 khách · 1 Phòng ngủ · 1 phòng tắm	476,648₫/đêm	Cầu Giấy, Hà Nội, Vietnam	1	
Nhà riêng	Êm Ấm homestay 301 - Phòng đôi yên tĩnh, ánh sáng tự nhiên	3 khách · 1 Phòng ngủ · 1 phòng tắm	370,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	11	
Căn hộ Studio	Bawhome - Pura Vida	4 khách · 1 Phòng ngủ · 1 phòng tắm	716,100₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	18	
Căn hộ chung cư · Vinhomes Times City	3-bedroom Luxury Apartment	6 khách · 3 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	4	
Căn hộ chung cư	A Little Hanoi - The strangely peaceful corner of Hanoi 1990s	6 khách · 2 Phòng ngủ · 1 phòng tắm	924,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	14	
