Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ dịch vụ	Li.A House #25 Imperia Garden 3BR Apart City View	6 khách · 3 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	
Căn hộ Studio	Pinky House-3.1 Cozy apartment* FREE GYM ROOM Modifier l'annonce	2 khách · 1 Phòng ngủ · 1 phòng tắm	420,000₫/đêm	Đống Đa, Hà Nội, Vietnam	1	
Căn hộ dịch vụ	♕ LUXURY 3BR ♕VINHOMES METROPOLIS ♕2mins to LOTTE	6 khách · 3 Phòng ngủ · 2 phòng tắm	2,600,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Nhà riêng	FL.1 HOMESTAY GIA BAO - 11 PHỦ DOÃN, HOÀN KIẾM, HÀ NỘI	3 khách · 1 Phòng ngủ · 1 phòng tắm	665,000₫/đêm 950,000₫	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	CĂN PHÒNG ẤM CÚNG, YÊN TĨNH VỚI BAN CÔNG RIÊNG, GẦN HỒ HOÀN KIẾM, ĐƯỜNG LÝ THƯỜNG KIỆT, VIEW ĐẸP NHÌN RA PHỐ SÁCH HÀ NỘI	2 khách · 1 Phòng ngủ · 1 phòng tắm	465,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	Ruahouse H'mong - Giảng Võ	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,020,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	New, Bright Designer Apt in Central Business Road	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,480₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ Studio	Hà Nội 1990s - Căn hộ VINTAGE trung tâm phố Cổ	4 khách · 1 Phòng ngủ · 1 phòng tắm	820,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Tea room - Affordable * Center * Beautiful * Very Comfortable	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	❤️The Cranes' Home - Neoclassical Double Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	599,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Khác	No.10 Homestay (2BR) @ Hanoi Railway Station	5 khách · 2 Phòng ngủ · 2 phòng tắm	800,000₫/đêm 1,000,000₫	Đống Đa, Hà Nội, Vietnam	
Căn hộ Studio	NQ Home	4 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	NEW! LOVELY 41 HomeStay - with Many Windows	4 khách · 1 Phòng ngủ · 1 phòng tắm	475,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	The Poetic Paris Studio 5F Best Location W Perfect View	2 khách · 1 Phòng ngủ · 1 phòng tắm	850,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư Imperial Plaza	Asahi Luxstay- Imperial Plaza- 2Br Apartment	2 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	
Nhà riêng	Mirr Homestay Hanoi| House 4| Room 2A| Big room with large window + TV + Sofa + Western comfy bed	2 khách · 1 Phòng ngủ · 1 phòng tắm	381,318₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ Studio	Trúc Bạch 401	2 khách · 1 Phòng ngủ · 1 phòng tắm	623,700₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ Studio	Sweet Host - Minimalism Apartment 1BR | Japanese Style | R304	2 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	Vinhomes Skylake 3 BR| Nice view Luxury Apt	7 khách · 3 Phòng ngủ · 3 phòng tắm	2,600,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ Studio	NEW! LOVELY 21 HomeStay ,Balcony with Many Windows	4 khách · 1 Phòng ngủ · 1 phòng tắm	485,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	Deluxe cozy double	2 khách · 1 Phòng ngủ · 1 phòng tắm	646,800₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư	Stunning Views High over Hanoi - 01	2 khách · 1 Phòng ngủ · 1 phòng tắm	548,145₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	The March House 5 - Căn hộ xinh tại VinHomes - Times City - Hà Nội	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ chung cư	theWanderlust: Central/Street view/near Sword lake	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,320,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Le petit HANOI (201)	4 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Nhà riêng	Le petit HANOI (301)	4 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Nhà riêng	Le petit HANOI (401 - phòng áp mái)	4 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	36F @Skylake cozy ~2 BR - near Keangnam	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,143,955₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Nhà riêng	Le petit HANOI (302)	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ chung cư	Esperanto -Japanese Style Studio 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	808,500₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	Esperanto -Japanese Style Studio 3	3 khách · 1 Phòng ngủ · 1 phòng tắm	808,500₫/đêm	Ba Đình, Hà Nội, Vietnam	
Khác	Tiwalahomestay-Hanoi - room banana 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	539,700₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Khác	Tiwalahomestay-Hanoi-Room Banana 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	539,300₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ Studio	Mirr Homestay Hanoi| House 6| Studio room 2A| Big room with balcony, tv & sofa in Tây Hồ district	2 khách · 1 Phòng ngủ · 1 phòng tắm	476,648₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ chung cư	Vinhomes Greenbay-01 Bed Room	2 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Khác	Tiwala Ha Noi House - Near Old Town Ha Noi	4 khách · 2 Phòng ngủ · 1 phòng tắm	849,500₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	NEW! Super Nice APT with Many Windows in City Center 22	3 khách · 1 Phòng ngủ · 1 phòng tắm	475,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Metropolis	VINHOME METROPOLIS 02 BEDROOMS WITH LAKE VIEW	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,100,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Nhà riêng	NEW! Super Nice APT with Many Windows in City Center 32	3 khách · 1 Phòng ngủ · 1 phòng tắm	475,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	E1A-PRIVATE BEDROOM & SHARED SPACE NEAR WESTLAKE	2 khách · 1 Phòng ngủ · 1 phòng tắm	460,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	Visit Hanoi from Historic Apartment Change listing	4 khách · 2 Phòng ngủ · 2 phòng tắm	524,313₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ Studio	AnNam★Large window studio/Best location Oldquarter	2 khách · 1 Phòng ngủ · 1 phòng tắm	452,816₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Moon Villa - Phòng Đơn	3 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Căn hộ chung cư	MARCH House No.4 * 2 Bedrooms * Park Hill Premium	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,355,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Nhà riêng	Lily Nest	4 khách · 2 Phòng ngủ · 1 phòng tắm	900,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	PINKY HOUSE 2.3 - Cozy Stu* FREEGYM* centerHaNoi	3 khách · 1 Phòng ngủ · 1 phòng tắm	360,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Căn hộ Studio	PINKY HOUSE 4.3 Cozy Apt near Hoang Cau lake	3 khách · 1 Phòng ngủ · 1 phòng tắm	370,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Nhà riêng	❃ HANOI TRADITIONAL HOUSE | TERRACE ROOM ❃	3 khách · 1 Phòng ngủ · 1 phòng tắm	850,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Tiny&Tom Home#301-2# 2 Comfy, convenient rooms	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,016,400₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	Lotusland - The Asian Craft House	3 khách · 1 Phòng ngủ · 1 phòng tắm	970,200₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư	Zoro Whale Apartment	2 khách · 1 Phòng ngủ · 1 phòng tắm	808,500₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Nhà riêng	Hana' House	2 khách · 1 Phòng ngủ · 1 phòng tắm	476,648₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ Studio	R.201 Double bed balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	877,800₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	R.202 – Twin/super king size bed large window	4 khách · 1 Phòng ngủ · 1 phòng tắm	993,300₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	R.301 – Double bed balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	877,800₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	R.401 – Double bed balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	877,800₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	R.502 – Twin/super king size large window	4 khách · 1 Phòng ngủ · 1 phòng tắm	993,300₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - Le Petit Hanoi Deluxe Studio	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,187,500₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - Le Petit Hanoi Deluxe King	3 khách · 1 Phòng ngủ · 1 phòng tắm	990,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ Studio	Esperanto Enchanting Studio 3	2 khách · 1 Phòng ngủ · 1 phòng tắm	808,500₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - Le Petit Hanoi Studio	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,076,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư The Artemis	ROSY ARTEMIS	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,100,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	
Căn hộ dịch vụ	*SPECIAL OFFER FOR GUEST* VERY CHEAP ROOM IN HANOI	2 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	***HOT PROMOTION*** CHEAP & COZY PRIVATE ROOM	2 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	***BIG OFFER WEEKLY*** COZY PRIVATE ROOM FOR COUPLE	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	Su Casa - Room 302	6 khách · 2 Phòng ngủ · 2 phòng tắm	2,199,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	[30%OFF]⭐Bedroom W/ WestLake View⭐PANORAMA⭐ROOFTOP	3 khách · 1 Phòng ngủ · 1 phòng tắm	714,972₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ chung cư	Lily - MIN Studio❣️CENTER BADINH❣️Great for travel	3 khách · 1 Phòng ngủ · 1 phòng tắm	595,810₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	❤[BAYHOMES] VINHOMES SKYLAKE / 2BR / 2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	Căn hộ hạng sang 1 phòng ngủ tòa S1 Vinhomes Skylake cạnh Keangnam	3 khách · 1 Phòng ngủ · 1 phòng tắm	929,464₫/đêm	Cầu Giấy, Hà Nội, Vietnam	
Căn hộ dịch vụ · Chung cư Sun Grand City	LiA House #11 - Sun Grand 3BR Apart West Lake View	6 khách · 3 Phòng ngủ · 2 phòng tắm	2,200,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	Camellia Homestay	5 khách · 1 Phòng ngủ · 1 phòng tắm	950,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Nhà riêng	PHÒNG YÊN TĨNH VỚI WC RIÊNG, GẦN GA HÀ NỘI, PHỐ CỔ VÀ KHU VỰC CAFE ĐƯỜNG TÀU	2 khách · 1 Phòng ngủ · 1 phòng tắm	413,000₫/đêm	Đống Đa, Hà Nội, Vietnam	
Nhà riêng	G Studio - Private bathtub - CENTER HANOI (room2)	2 khách · 1 Phòng ngủ · 1 phòng tắm	885,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ chung cư	Skylake 1 Bed Cozy Apartment S1-07 My Dinh	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,260,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư	Vinhomes Skylake 1 Bedroom Cozy Apartment S2-33	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,260,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - Le Petit Hanoi Deluxe King Studio	3 khách · 1 Phòng ngủ · 1 phòng tắm	990,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Nhà riêng	Mirr Homestay Hanoi 2| Beautiful house Rustic decoration right at the heart of Westlake	2 khách · 1 Phòng ngủ · 1 phòng tắm	357,486₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	View Hồ tây - Homestay - Trop01 Nhiệt đới	3 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Nhà riêng	Monica Apartment - Sapphire Luxury	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,380,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Nhà riêng	Monica Apartment - Ruby Relax	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,380,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Nhà riêng	Monica Apartment - Diamond City View	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,380,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ Studio	R.302 – Double bed large window	2 khách · 1 Phòng ngủ · 1 phòng tắm	808,500₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	R.402 – Twin/super king size large window	4 khách	993,300₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Cozy Private Studio HBT - 2 mins to HoanKiem lake	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Link Homestay	6 khách · 2 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	Esperanto Charming Studio 2	2 khách · 1 phòng tắm	808,500₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	Vinci Old Quarter I	4 khách · 1 Phòng ngủ · 1 phòng tắm	693,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	Căn Hộ 3 Phòng Ngủ Trung Tâm Hà Nội (Vinhomes Metropolis)	6 khách · 3 Phòng ngủ · 2 phòng tắm	2,490,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - La Petit Hanoi Studio	3 khách · 1 Phòng ngủ · 1 phòng tắm	720,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - La Petit Hanoi Studio 1	3 khách · 1 Phòng ngủ · 1 phòng tắm	720,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - La Petit Hanoi Studio	3 khách · 1 Phòng ngủ · 1 phòng tắm	720,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - La Petit Hanoi Rooftop	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,120,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sweet Host - La Petit Hanoi Rooftop 1	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,120,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ dịch vụ	E1C-PRIVATE BEDROOM & SHARED SPACE NEAR WESTLAKE	2 khách · 1 Phòng ngủ · 1 phòng tắm	460,000₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Biệt Thự	BAVI Padme Home - Villa	26 khách · 2 Phòng ngủ · 3 phòng tắm	4,500,000₫/đêm	Ba Vì, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư Vinhomes D' Capitale‎ Trần Duy Hưng	A-Homes D'Capitale Luxury Apartment 2.1	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Cầu Giấy, Hà Nội, Vietnam	
Nhà riêng	Bọ Stayhome	6 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	Vinhomes Sky Lake* Cozy Apartment 3bdrs	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,787,430₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ dịch vụ	LiA's Delicate Studio ✯ Railroad + Balcony #1	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
Nhà riêng	FL.2 HOMESTAY GIA BAO - 11 PHỦ DOÃN, HOÀN KIẾM, HÀ NỘI	3 khách · 1 Phòng ngủ · 1 phòng tắm	665,000₫/đêm 950,000₫	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · TNR Goldmark City	Q-House Luxury Apartment Goldmark City	8 khách · 3 Phòng ngủ · 2 phòng tắm	1,429,944₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Nhà riêng	Skyview Hoàn Kiếm, phòng Trẻ trung (Tầng 3)	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Green Bay	Vinhomes Green Bay - 2Br | 31F Radiant Palace| Luxury view	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,200,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ Studio	★ Old Quarter,Balcony 21 near Hoan Kiem Lake ★	6 khách · 1 Phòng ngủ · 1 phòng tắm	655,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	HNC Premier Hotel & Residences 4* - Duplex suite	15 khách · 3 Phòng ngủ · 3 phòng tắm	3,500,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Lake view 1 Br Apt/1mn to West Lake/Balcony/New301	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,024,793₫/đêm	Tây Hồ, Hà Nội, Vietnam	
Căn hộ dịch vụ	Sea Studio - Momento House 3 - 500m to HK Lake	4 khách · 1 Phòng ngủ · 1 phòng tắm	570,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Camp Studio - Momento 3 - 700m to Hoan Kiem Lake	4 khách · 1 Phòng ngủ · 1 phòng tắm	570,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio	Lovely HomeStay 31 in City Center Ha Noi	6 khách · 1 Phòng ngủ · 1 phòng tắm	455,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	1	
Căn hộ chung cư · Vinhomes Green Bay	Vịnh Xanh Đáng Sống	2 khách · 1 Phòng ngủ · 1 phòng tắm	850,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ Studio	Vhome 77 Auto BR King 0,5 km to Hoàn Kiếm Lake - Phòng gần Hồ Gươm 10 phút đi bộ	2 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	Annam❤️3mins to Beer Street★Duplex central Studio	4 khách · 1 Phòng ngủ · 1 phòng tắm	452,816₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Khác	Airy2L❤️Rooftop terrace/Studio/Center Old quarter	2 khách · 1 Phòng ngủ · 1 phòng tắm	381,318₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Old Quarter View House - Easternstay - 401	2 khách · 1 Phòng ngủ · 1 phòng tắm	531,000₫/đêm 590,000₫	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ Studio · Vinhomes Green Bay	NAM'S HIDEOUT - Movie Cinema Studio Apartment in Vinhome Green Bay	2 khách · 1 Phòng ngủ · 1 phòng tắm	700,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư	Rose House - Elegance of Ha noi City & river view	2 khách · 1 Phòng ngủ · 1 phòng tắm	637,500₫/đêm 750,000₫	Nam Từ Liêm, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư Star City	May's home - 2br Luxury Apartment @ Star City	4 khách · 2 Phòng ngủ · 2 phòng tắm	722,500₫/đêm 850,000₫	Thanh Xuân, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes Times City	Tropicana No.16 Apartment	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,295,000₫/đêm	Hai Bà Trưng, Hà Nội, Vietnam	
Nhà riêng	NYNA House/3 APARTMENTS/6 BRs/12 PAX/HoanKiem Lake	12 khách · 6 Phòng ngủ · 5 phòng tắm	4,000,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Tube House	2 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ dịch vụ	Hanoi Chill Homestay/ Green Balcony/Old quarter/15 mins walking to Hoan Kiem Lake	6 khách · 2 Phòng ngủ · 1 phòng tắm	800,000₫/đêm 1,000,000₫	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư Mipec Riverside	Riverview 5* Suite Hanoi Center-Pool&Netflix	6 khách · 2 Phòng ngủ · 2 phòng tắm	834,134₫/đêm	Long Biên, Hà Nội, Vietnam	
Nhà riêng	Cactus Homestay Hanoi	4 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Soha Homestay - Căn hộ 2 phòng ngủ lớn/ Ban Công ngay trung tâm Hà Nội.	6 khách · 2 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	Asahi Luxstay - The Legend 2Br Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	
Khác	Quyet Homestay #3 (Hanoi room, the twin home)	2 khách · 1 Phòng ngủ · 1 phòng tắm	333,654₫/đêm	Ba Đình, Hà Nội, Vietnam	
Biệt Thự	Choai Villa Sóc Sơn	20 khách · 5 Phòng ngủ · 4 phòng tắm	3,900,000₫/đêm	Sóc Sơn, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư Mipec Riverside	CITY CENTER Red River View 2+1 BRs. Discnt 20% Sep	6 khách · 2 Phòng ngủ · 2 phòng tắm	714,972₫/đêm	Long Biên, Hà Nội, Vietnam	
Căn hộ dịch vụ · Vinhomes SkyLake	❤[BAYHOMES] VINHOMES SKYLAKE / 2BR / 2mins to KEANGNAM	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,450,000₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Biệt Thự	Hanoi Indochine House - Biệt thự Đông Dương trong lòng phố cổ	6 khách · 2 Phòng ngủ · 2 phòng tắm	920,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Nhà riêng	Hanoi Central Lux Loft#Light#Love#Lots#Look	5 khách · 1 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Chung cư The Legend Tower	Asahi Luxstay - The Legend 1Br Apartment	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Thanh Xuân, Hà Nội, Vietnam	
Biệt Thự	Căn phòng ngập tràn ánh sáng tại Nhà Hát Lớn - Sazi Le Thanh Tong 301	2 khách · 1 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư · Vinhomes SkyLake	Vinhomes SKYLAKE 2 BR ~ 한국 동네 ~ near Keangnam Tower	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,096,290₫/đêm	Nam Từ Liêm, Hà Nội, Vietnam	
Nhà riêng · Biệt thự nghỉ dưỡng Rose Garden Resort	Nhà sàn Nữ Hoàng- đậm chất "homestay"	35 khách · 1 Phòng ngủ · 2 phòng tắm	3,200,000₫/đêm	Ba Vì, Hà Nội, Vietnam	
Biệt Thự	Camellia Villa - Xanh Villas	40 khách · 7 Phòng ngủ · 6 phòng tắm	6,300,000₫/đêm 7,000,000₫	Thạch Thất, Hà Nội, Vietnam	
Nhà riêng	Ann House - cosy home in front of Hoan Kiem Lake	6 khách · 2 Phòng ngủ · 1 phòng tắm	667,307₫/đêm	Hoàn Kiếm, Hà Nội, Vietnam	
Căn hộ chung cư	Lake View *Luxury Service* Sunshine Metropolis Hanoi	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Ba Đình, Hà Nội, Vietnam	
